"Value Research Online"
"Date: 28-Jul-2015 14:48"
"Fund","Rating","1-Month Return","1-Month Rank","3-Month Return","3-Month Rank","1-Year Return","1-Year Rank","3-Year Return","3-Year Rank","5-Year Return","5-Year Rank","10-Year Return","10-Year Rank"
"IDBI Equity Advantage Fund - Regular Plan","Unrated","2.86","7/75","6.98","24/75","40.15","2/73","-","-","-","-","-","-"
"IDBI India Top 100 Equity Fund","* * * * * ","1.8","17/148","5.95","15/145","23.95","2/143","24.72","1/75","-","-","-","-"
"IDBI Nifty Index Fund","* ","-0.02","91/148","2.2","116/145","6.82","125/143","17.77","61/75","8.79","52/64","-","-"
"IDBI Nifty Junior Index Fund","* * * ","2.95","20/61","8.17","19/61","24.14","24/56","26.64","12/28","-","-","-","-"
"IDFC Classic Equity Fund - Regular Plan","* * ","0.63","90/135","2.97","115/135","17.83","93/125","19.65","56/66","9.15","52/61","-","-"
"IDFC Equity Fund - Regular Plan","* * * ","-1.44","147/148","0.37","141/145","6.21","131/143","17.26","69/75","9.33","38/64","-","-"
"IDFC Imperial Equity Fund - Regular Plan","* ","-0.89","144/148","1.29","133/145","9.64","76/143","16.11","71/75","7.87","62/64","-","-"
"IDFC Infrastructure Fund - Regular Plan","* * ","3.03","12/43","7.7","11/43","19.44","18/43","14.61","20/22","-","-","-","-"
"IDFC Nifty Fund - Regular Plan","* * * ","0","87/148","2.35","98/145","8.13","101/143","18.8","43/75","10.12","28/64","-","-"
"IDFC Premier Equity Fund - Regular Plan","* * * ","3.17","54/114","6.31","83/114","30.29","75/112","31.99","33/52","18.86","18/48","-","-"
"IDFC Sterling Equity Fund - Regular Plan","* * * ","0.56","109/114","5.15","101/114","26.42","83/112","26.04","45/52","15.24","33/48","-","-"
"IDFC Tax Advantage (ELSS) Fund - Regular Plan","* * * * * ","-0.48","72/75","5.78","41/75","28.21","17/73","29.84","4/37","15.95","6/36","-","-"
"IIFL India Growth Fund - Regular Plan","Unrated","-0.08","117/135","3.18","112/135","-","-","-","-","-","-","-","-"
"IIFL Nifty ETF Fund","* * * ","1.93","14/148","4.54","47/145","10.65","68/143","20.14","26/75","-","-","-","-"
"Indiabulls Bluechip Fund","* ","3.87","2/148","8.28","5/145","14.81","49/143","17.93","58/75","-","-","-","-"
"JM Basic Fund","Unrated","1.3","-","8.1","-","24.12","-","24.51","-","4.24","-","7.49","-"
"JM Core 11 Fund","* ","-2.02","135/135","5.81","54/135","16.29","99/125","22.75","39/66","4.26","61/61","-","-"
"JM Equity Fund","* * ","-0.01","88/148","3.83","63/145","18.12","32/143","21.62","16/75","8.55","58/64","9.58","35/35"
"JM Multi Strategy Fund","* ","0.15","112/135","9.72","4/135","22.69","40/125","26.58","13/66","8.28","59/61","-","-"
"JM Tax Gain Fund","* * ","-0.2","68/75","8.69","5/75","23.71","29/73","27.43","10/37","10.03","32/36","-","-"
"JP Morgan Emerging Markets Opportunities Equity Offshore Fund - Regular Plan","Unrated","-8.73","-","-15.97","-","-10.9","-","-","-","-","-","-","-"
"JP Morgan Europe Dynamic Equity Offshore Fund - Regular Plan","Unrated","-2.58","-","-1.21","-","2.37","-","-","-","-","-","-","-"
"JP Morgan India Economic Resurgence Fund - Regular Plan","Unrated","1.53","42/135","8","12/135","-","-","-","-","-","-","-","-"
"JP Morgan India Equity Fund","* * * * ","1","49/148","5.66","20/145","20.16","15/143","22.85","10/75","12.32","8/64","-","-"
"JP Morgan India Mid and Small Cap Fund","* * * * ","2.32","82/114","9.87","27/114","39.84","22/112","38.56","9/52","20.89","8/48","-","-"
"JP Morgan India Tax Advantage Fund","* * * ","0.6","54/75","5.89","37/75","21.18","43/73","22.68","30/37","12.28","20/36","-","-"
